"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","Att","Live_Pass","Dead_Pass","FK_Pass","TB_Pass","Sw_Pass","Crs_Pass","TI_Pass","CK_Pass","In_Corner","Out_Corner","Str_Corner","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","Url"
2024,"Aston Villa","Premier League","Ollie Watkins","ENG","FW","27",1995,35.7,609,586,21,1,5,1,13,4,0,0,0,0,459,2,17,"https://fbref.com/en/players/aed3a70f/Ollie-Watkins"
2024,"Aston Villa","Premier League","Nicolò Zaniolo","ITA","FW,MF","24",1999,9.3,228,225,2,0,0,2,18,1,0,0,0,0,150,1,23,"https://fbref.com/en/players/9907b1c8/Nicolo-Zaniolo"
2024,"Atalanta","Serie A","Mitchel Bakker","NED","DF","23",2000,4.2,212,168,42,3,0,0,13,36,3,0,3,0,167,2,8,"https://fbref.com/en/players/a8567629/Mitchel-Bakker"
2024,"Atalanta","Serie A","El Bilal Touré","MLI","FW","21",2001,4.4,126,124,2,0,1,1,2,0,0,0,0,0,92,0,6,"https://fbref.com/en/players/47c609d5/El-Bilal-Toure"
2024,"Atalanta","Serie A","Giovanni Bonfanti","ITA","DF","20",2003,1,57,52,5,2,0,0,2,3,0,0,0,0,46,0,2,"https://fbref.com/en/players/938d8a55/Giovanni-Bonfanti"
2024,"Atalanta","Serie A","Marco Carnesecchi","ITA","GK","23",2000,26.9,879,635,238,45,0,0,0,0,0,0,0,0,619,6,1,"https://fbref.com/en/players/8ec56e62/Marco-Carnesecchi"
2024,"Atalanta","Serie A","Charles De Ketelaere","BEL","FW,MF","22",2001,22.5,782,746,35,7,6,2,47,8,2,0,2,0,565,1,25,"https://fbref.com/en/players/2ef7c612/Charles-De-Ketelaere"
2024,"Atalanta","Serie A","Berat Djimsiti","ALB","DF","30",1993,31.5,1661,1584,75,58,1,6,6,17,0,0,0,0,1454,2,11,"https://fbref.com/en/players/6eee05f1/Berat-Djimsiti"
2024,"Atalanta","Serie A","Éderson","BRA","MF","24",1999,31.9,1662,1611,44,42,6,17,17,2,0,0,0,0,1390,7,27,"https://fbref.com/en/players/a9202def/Ederson"
2024,"Atalanta","Serie A","Hans Hateboer","NED","DF","29",1994,12.4,616,515,97,4,0,2,34,93,0,0,0,0,514,4,16,"https://fbref.com/en/players/3b333ac3/Hans-Hateboer"
