"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty","Url"
2024,"Lecce","Serie A","Wladimiro Falcone","ITA","GK","28",1995,38,38,3420,38,54,1.42,173,119,71.7,8,14,16,7,18.4,6,5,1,0,16.7,"https://fbref.com/en/players/9f5a610b/Wladimiro-Falcone"
2024,"Lens","Ligue 1","Jean-Louis Leca","FRA","GK","37",1985,1,1,90,1,2,2,2,0,0,0,1,0,0,0,0,0,0,0,NA,"https://fbref.com/en/players/edbe46dc/Jean-Louis-Leca"
2024,"Lens","Ligue 1","Brice Samba","FRA","GK","29",1994,33,33,2970,33,35,1.06,136,101,78.7,14,8,11,14,42.4,8,6,1,1,14.3,"https://fbref.com/en/players/60d90c55/Brice-Samba"
2024,"Leverkusen","Bundesliga","Lukáš Hrádecký","FIN","GK","33",1989,33,33,2970,33,24,0.73,102,78,76.5,28,5,0,15,45.5,0,0,0,0,NA,"https://fbref.com/en/players/ad3389d5/Lukas-Hradecky"
2024,"Leverkusen","Bundesliga","Matej Kovar","CZE","GK","23",2000,1,1,90,1,0,0,3,3,100,0,1,0,1,100,0,0,0,0,NA,"https://fbref.com/en/players/bc67a0e1/Matej-Kovar"
2024,"Lille","Ligue 1","Lucas Chevalier","FRA","GK","21",2001,33,33,2969,33,32,0.97,123,91,76.4,16,10,7,15,45.5,5,3,2,0,40,"https://fbref.com/en/players/b3d76d84/Lucas-Chevalier"
2024,"Lille","Ligue 1","Vito Mannone","ITA","GK","35",1988,2,1,91,1,2,1.98,5,3,60,0,1,0,0,0,0,0,0,0,NA,"https://fbref.com/en/players/c4173f1a/Vito-Mannone"
2024,"Liverpool","Premier League","Alisson","BRA","GK","30",1992,28,28,2520,28,30,1.07,109,80,73.4,16,8,4,8,28.6,1,1,0,0,0,"https://fbref.com/en/players/7a2e46a8/Alisson"
2024,"Liverpool","Premier League","Caoimhín Kelleher","IRL","GK","24",1998,10,10,900,10,11,1.1,38,28,71.1,8,2,0,2,20,0,0,0,0,NA,"https://fbref.com/en/players/62d7ef38/Caoimhin-Kelleher"
2024,"Lorient","Ligue 1","Yvon Mvogo","SUI","GK","29",1994,34,34,3060,34,66,1.94,207,142,72,7,8,19,4,11.8,8,8,0,0,0,"https://fbref.com/en/players/dc29b608/Yvon-Mvogo"
